Original_Text,Feedback_Text,Cleaned_Text_Main,VADER_Score_Eng,VADER_Sentiment_Eng,VADER_Score_Aug,VADER_Sentiment_Aug,Filipino_Keyword_Score,Filipino_Keyword_Sentiment,Filipino_Positive_Keywords_Found,Filipino_Negative_Keywords_Found,TextBlob_Polarity,TextBlob_Subjectivity
"sir is very good teacher,he explain very well the lesson","sir is very good teacher,he explain very well the lesson",lesson explain teacherhe,0.6794,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.5549999999999999,0.54
more patience,more patience,patience,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.5,0.5
Please be observant always with your students.,Please be observant always with your students.,observant student,0.3182,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
Cannot understand topics.............................,Cannot understand topics.............................,topic understand,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
he's cool..,he's cool..,cool,0.0,Neutral (VADER Eng),0.3182,Positive (VADER Aug),1,Positive (Filipino Keywords),cool,,0.35,0.65
has to explain the topics more clearly,has to explain the topics more clearly,topic explain,0.4576,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.3,0.44166666666666665
He has the mastery of the subject matter.,He has the mastery of the subject matter.,subject matter mastery,0.0258,Neutral (VADER Eng),0.0258,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,-0.16666666666666666,0.3333333333333333
"He should not be a so fast in lecturing, also his diction of words sometimes can't understand.","He should not be a so fast in lecturing, also his diction of words sometimes can't understand.",diction lecturing understand fast,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.2,0.6
APPROACHABLE,APPROACHABLE,approachable,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),1,Positive (Filipino Keywords),approachable,,0.0,0.0
teaching process,teaching process,teaching process,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
he is really good in teaching.. he make us laugh so that we are not too pressure about the lessons.. he gives handouts that we could use as a reviewer.. ,he is really good in teaching.. he make us laugh so that we are not too pressure about the lessons.. he gives handouts that we could use as a reviewer.. ,teaching reviewer laugh lesson handout pressure,0.8263,Positive (VADER Eng),0.34,Positive (VADER Aug),0,Neutral (Filipino Keywords),,,0.5,0.35000000000000003
approachable enough to ask about something we find it hard to understand.. he see to it that we will not move on to the next topic if we do not understand it clearly.... thank yu,approachable enough to ask about something we find it hard to understand.. he see to it that we will not move on to the next topic if we do not understand it clearly.... thank yu,topic hard approachable understand,0.2732,Positive (VADER Eng),-0.1027,Negative (VADER Aug),1,Positive (Filipino Keywords),approachable,,-0.04791666666666666,0.35624999999999996
ou sir.... sir.. whenever we are doing activity.. i thought you are doing something in your laptop but u are sleeping pla.. heheh. funny sir... see you in higher marketing po... but not in the same subj..huhu .....ur so kind... ,ou sir.... sir.. whenever we are doing activity.. i thought you are doing something in your laptop but u are sleeping pla.. heheh. funny sir... see you in higher marketing po... but not in the same subj..huhu .....ur so kind... ,marketing sleeping ur laptop activity funny pla subjhuhu ou heheh,0.5927,Positive (VADER Eng),0.4404,Positive (VADER Aug),1,Positive (Filipino Keywords),funny,,0.275,0.63125
master the subject..nice teatcher to us..,master the subject..nice teatcher to us..,subjectnice master teatcher,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
somestimes fast..,somestimes fast..,somestimes fast,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.2,0.6
discusses very well the subject matter,discusses very well the subject matter,subject matter discusses,0.3597,Positive (VADER Eng),0.0258,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.016666666666666677,0.31666666666666665
more examples,more examples,example,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.5,0.5
he should teach during the finals on what the lecture proper is all about. so that students can cope up over the lecture.,he should teach during the finals on what the lecture proper is all about. so that students can cope up over the lecture.,teach cope final student lecture proper,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.1
M. Candido M. Perez greatly answers student's questions tactfully.,M. Candido M. Perez greatly answers student's questions tactfully.,perez answer student tactfully question candido greatly,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.8,0.75
"Sir, most students like me needs to be motivated extrinsically for us to realizwed the importance of accounting in our future jobs. I think its time for you to use your so-called iron hand so that students like me will remember all the teachings you have done and will impacts us in the future business imparatives that we will be undertaking soon especially in our feasibility studies. Accounting is really important.","Sir, most students like me needs to be motivated extrinsically for us to realizwed the importance of accounting in our future jobs. I think its time for you to use your so-called iron hand so that students like me will remember all the teachings you have done and will impacts us in the future business imparatives that we will be undertaking soon especially in our feasibility studies. Accounting is really important.",teaching extrinsically business iron imparatives motivated socalled hand realizwed impact undertaking study accounting remember feasibility job student time future,0.9366,Positive (VADER Eng),0.7351,Positive (VADER Aug),0,Neutral (Filipino Keywords),,,0.18,0.55
He has a good memorization related with the subject or topics.......................,He has a good memorization related with the subject or topics.......................,topic subject memorization,0.4404,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.17777777777777778,0.4444444444444444
He is too fast in discussing his lesson which we could not already understand the lesson or the subject being presented........................................................,He is too fast in discussing his lesson which we could not already understand the lesson or the subject being presented........................................................,understand subject discussing lesson fast,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.016666666666666677,0.4666666666666667
job well done sir! keep up the good work... Godbless,job well done sir! keep up the good work... Godbless,job godbless,0.6476,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.7,0.6000000000000001
sometimes... very fast,sometimes... very fast,fast,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.26,0.78
"good in teaching stategies,","good in teaching stategies,",stategies teaching,0.4404,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.7,0.6000000000000001
MUST ALSO HAVE AN CONSIDERATION OF STUDENT WHO ARE NOT VERY GOOD IN THE SUBJECT MATTER....,MUST ALSO HAVE AN CONSIDERATION OF STUDENT WHO ARE NOT VERY GOOD IN THE SUBJECT MATTER....,student subject consideration matter,-0.3865,Negative (VADER Eng),0.0258,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,-0.2179487179487179,0.39743589743589747
He's so very fast in teaching that most of the students have difficulty in understanding the lessons.,He's so very fast in teaching that most of the students have difficulty in understanding the lessons.,understanding teaching student lesson difficulty fast,-0.34,Negative (VADER Eng),-0.34,Negative (VADER Aug),1,Positive (Filipino Keywords),understanding,,0.38,0.64
More examples in every topic.,More examples in every topic.,topic example,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.5,0.5
HE IS INTELLIGENT.,HE IS INTELLIGENT.,intelligent,0.4588,Positive (VADER Eng),0.4588,Positive (VADER Aug),0,Neutral (Filipino Keywords),,,0.8,0.9
"HE'S GOOD IN EXPLAINING EVERYTHING, RELATING IT TO THE COURSE OR MAJOR WE HAVE....","HE'S GOOD IN EXPLAINING EVERYTHING, RELATING IT TO THE COURSE OR MAJOR WE HAVE....",relating explaining major,0.4404,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.38125,0.55
NOT VERY FAST . . .,NOT VERY FAST . . .,fast,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,-0.07692307692307693,0.46153846153846145
..His very Good in teaching..,..His very Good in teaching..,teaching,0.4927,Positive (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.9099999999999999,0.7800000000000001
Has the mastery of the course...,Has the mastery of the course...,mastery,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.0
Makes the class think creatively...,Makes the class think creatively...,creatively class,0.0,Neutral (VADER Eng),0.3612,Positive (VADER Aug),0,Neutral (Filipino Keywords),,,0.5,1.0
Makes the class think critically...,Makes the class think critically...,critically class,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.0,0.8
He's fair to students when it comes in giving gradesl...,He's fair to students when it comes in giving gradesl...,student gradesl fair,0.5719,Positive (VADER Eng),0.3182,Positive (VADER Aug),1,Positive (Filipino Keywords),fair,,0.7,0.9
He's too fast in teaching most of the time...,He's too fast in teaching most of the time...,time teaching fast,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.35,0.55
master of the subject,master of the subject,master subject,0.0,Neutral (VADER Eng),0.0,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,-0.16666666666666666,0.3333333333333333
you need to explain more the subject matter to the students because they are not good as you are.,you need to explain more the subject matter to the students because they are not good as you are.,student subject matter explain,-0.2599,Negative (VADER Eng),0.0258,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,-0.005555555555555536,0.4777777777777778
"it is better to explain first ehe subject matter before giving the seatwork, for the students to understand better. instead explaining it after the quiz.","it is better to explain first ehe subject matter before giving the seatwork, for the students to understand better. instead explaining it after the quiz.",student seatwork ehe explain matter explaining understand quiz subject,0.8074,Positive (VADER Eng),0.0258,Neutral (VADER Aug),0,Neutral (Filipino Keywords),,,0.27083333333333337,0.41666666666666663
